raw_words,task,quadruples
"Unfortunately , it was n't up to par with her past works .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Unfortunately']}, 'sentiment': 'NEG'}]"
"Not only was the whole plane crash into a very specific location bad , but then bones hidden for 30 years suddenly get found at the exact right time .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 12, 'to': 13, 'term': ['bad']}, 'sentiment': 'NEG'}]"
"A very good read from the author who saw it all , up close and very personal .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 3, 'term': ['very', 'good']}, 'sentiment': 'POS'}]"
"This book was worth the wait , and I will keep watching for the next novel ... no matter how long it takes !",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['worth']}, 'sentiment': 'POS'}, {'aspect': {'from': 14, 'to': 16, 'term': ['next', 'novel']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
An excellent page turner .,ACOS,"[{'aspect': {'from': 2, 'to': 4, 'term': ['page', 'turner']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 2, 'term': ['excellent']}, 'sentiment': 'POS'}]"
"Jodie 's tantrums range from cursing and kicking to multiple personalities , the level of abuse she experienced is beyond what most people can imagine.This book can be hard to read at times but Cathy 's strength and her dedication to helping this child is impressive , it held a lot of good ideas and lessons about taking care of children in pain .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 52, 'to': 53, 'term': ['good']}, 'sentiment': 'POS'}, {'aspect': {'from': 34, 'to': 35, 'term': ['Cathy']}, 'category': 'Content#Characters', 'opinion': {'from': 45, 'to': 46, 'term': ['impressive']}, 'sentiment': 'POS'}, {'aspect': {'from': 25, 'to': 26, 'term': ['book']}, 'category': 'Content#Plot', 'opinion': {'from': 28, 'to': 29, 'term': ['hard']}, 'sentiment': 'NEG'}]"
( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 16, 'to': 19, 'term': ['just', 'plain', 'awful']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 14, 'to': 15, 'term': ['Confusing']}, 'sentiment': 'NEG'}]"
"love these two characters , and have been following them all along but am nearing the ends of books , need more",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': 0, 'to': 1, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"There are also a couple of good storylines involving some of Patrick 's co-workers.I don't know if it was the story or just that this is the fourth book I have read by this author and in this series , but I was able to figure out the twist really soon .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['storylines']}, 'category': 'Content#Plot', 'opinion': {'from': 6, 'to': 7, 'term': ['good']}, 'sentiment': 'POS'}]"
Thanks for the great transaction !,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['transaction']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Thanks']}, 'sentiment': 'POS'}]"
"Intriguing , informative and intellectual , Sid brings to life the multifaceted enemy of cancer as well as the enemy of public perception .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 4, 'to': 5, 'term': ['intellectual']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Intriguing']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 2, 'to': 3, 'term': ['informative']}, 'sentiment': 'POS'}]"
The pacing is a bit choppy .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['pacing']}, 'category': 'Book#Quality', 'opinion': {'from': 3, 'to': 6, 'term': ['a', 'bit', 'choppy']}, 'sentiment': 'NEG'}]"
"This really is not worth the effort , the Frontier feminism , and the Speck culture are interesting , but slight .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 5, 'term': ['not', 'worth']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 17, 'to': 18, 'term': ['interesting']}, 'sentiment': 'POS'}]"
This impulse buy turned out to be one of the best i could have made .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 10, 'to': 11, 'term': ['best']}, 'sentiment': 'POS'}]"
"The characters are so-so , the back story of the characters is very blah ( because of the co-mingling of their fates - seriously , it 's like a red-neck family feud set in Egypt ) .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': 3, 'to': 4, 'term': ['so-so']}, 'sentiment': 'NEU'}, {'aspect': {'from': 6, 'to': 11, 'term': ['back', 'story', 'of', 'the', 'characters']}, 'category': 'Content#Characters', 'opinion': {'from': 12, 'to': 14, 'term': ['very', 'blah']}, 'sentiment': 'NEG'}]"
"I 've been a Feist fan for YEARS , and I hate to see it coming to an end if the rumors are true .",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['Feist']}, 'category': 'Book#Author', 'opinion': {'from': 5, 'to': 6, 'term': ['fan']}, 'sentiment': 'POS'}]"
I love seeing Peter Decker and Rina again on this mytery book .,ACOS,"[{'aspect': {'from': 3, 'to': 5, 'term': ['Peter', 'Decker']}, 'category': 'Content#Characters', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 7, 'term': ['Rina']}, 'category': 'Content#Characters', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}]"
I had high hopes for Faye Kellerman 's latest publication but the promise far exceeded the reality .,ACOS,"[{'aspect': {'from': 5, 'to': 10, 'term': ['Faye', 'Kellerman', ""'s"", 'latest', 'publication']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
Raymond Feist can not write fast enough for me .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 3, 'to': 6, 'term': ['not', 'write', 'fast']}, 'sentiment': 'NEU'}]"
Well written and fast read .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['read']}, 'category': 'Book#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Well']}, 'sentiment': 'POS'}]"
It is the first book of such extraordinary scope regarding cancer .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 7, 'to': 8, 'term': ['extraordinary']}, 'sentiment': 'POS'}]"
"It now seems to be the done thing to slate this particular book at every opportunity but I ca n't help it , I enjoyed that book and also some of the ones that were published on the back of it 's success.This book however is a little different and concentrates on the greed of treasure hunter 's , rather than a race against time to save the world from imminent disaster .",ACOS,"[{'aspect': {'from': 26, 'to': 27, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 24, 'to': 25, 'term': ['enjoyed']}, 'sentiment': 'POS'}]"
"The author is a great storyteller , and he successfully breaks down a technical subject into interesting easy-to-understand anecdotes .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['author']}, 'category': 'Book#Author', 'opinion': {'from': 4, 'to': 5, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 9, 'to': 10, 'term': ['successfully']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 17, 'to': 18, 'term': ['easy-to-understand']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 16, 'to': 17, 'term': ['interesting']}, 'sentiment': 'POS'}]"
"My wife , Mother in Law & sister in law all read this book & found it disturbing .",ACOS,"[{'aspect': {'from': 13, 'to': 14, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 17, 'to': 18, 'term': ['disturbing']}, 'sentiment': 'NEG'}]"
"I am a big fan of the Assassin books , and also ( mostly ) liked the Liveship series by Robin Hobb .",ACOS,"[{'aspect': {'from': 7, 'to': 9, 'term': ['Assassin', 'books']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 5, 'term': ['big', 'fan']}, 'sentiment': 'POS'}, {'aspect': {'from': 17, 'to': 22, 'term': ['Liveship', 'series', 'by', 'Robin', 'Hobb']}, 'category': 'Book#General', 'opinion': {'from': 15, 'to': 16, 'term': ['liked']}, 'sentiment': 'POS'}]"
It 's confusing trying to keep track of both murders .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 2, 'to': 3, 'term': ['confusing']}, 'sentiment': 'NEG'}]"
"If you own a restaurant , or you follow Gordon through his carious Tv shows , I recommend his book .",ACOS,"[{'aspect': {'from': 19, 'to': 20, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 17, 'to': 18, 'term': ['recommend']}, 'sentiment': 'POS'}]"
I have been hooked on Midkemia since Magician was first published and I am a loyal fan of Pug and Tomas .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['Midkemia']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['hooked']}, 'sentiment': 'POS'}]"
The whole saga is almost over and I can not wait for the last book !,ACOS,"[{'aspect': {'from': 13, 'to': 15, 'term': ['last', 'book']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
I fully recommend reading the series .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['series']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 3, 'term': ['fully', 'recommend']}, 'sentiment': 'POS'}]"
"Even if you cut the book by half or two-thirds , it would still be slow and boring.I would not recommend this book to anyone .",ACOS,"[{'aspect': {'from': 22, 'to': 23, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 19, 'to': 21, 'term': ['not', 'recommend']}, 'sentiment': 'NEG'}, {'aspect': {'from': 5, 'to': 6, 'term': ['book']}, 'category': 'Content#Plot', 'opinion': {'from': 15, 'to': 16, 'term': ['slow']}, 'sentiment': 'NEG'}, {'aspect': {'from': 5, 'to': 6, 'term': ['book']}, 'category': 'Content#Plot', 'opinion': {'from': 17, 'to': 18, 'term': ['boring.I']}, 'sentiment': 'NEG'}]"
"It is better if you allow it to unravel for you as you read this tale.Lackberg writes effortlessly , the relationships between her characters build throughout the novels as the tension builds in each and every book.Another great read .",ACOS,"[{'aspect': {'from': 38, 'to': 39, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 37, 'to': 38, 'term': ['great']}, 'sentiment': 'POS'}]"
"This suspenseful , entertaining mystery begins as a commuter plane crashes into an apartment house in California 's West San Fernando Valley , not far from the Deckers ' house , and bursts into flames .",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['mystery']}, 'category': 'Content#Plot', 'opinion': {'from': 3, 'to': 4, 'term': ['entertaining']}, 'sentiment': 'POS'}]"
