raw_words,task,quadruples
I probably could have ordered a C but I wanted a more opaque color and did not want to overstretch the material .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Bottom#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
I expected the waistband to be soft as well !,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['waistband']}, 'category': 'Clothing#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['soft']}, 'sentiment': 'POS'}]"
"Nope , returned for damaged 13D and still tight but would have streched .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Shoes#Size', 'opinion': {'from': 7, 'to': 9, 'term': ['still', 'tight']}, 'sentiment': 'NEG'}]"
I ordered the Kelly green & Steel polo shirts both shirts arrived in good condition .,ACOS,"[{'aspect': {'from': 14, 'to': 15, 'term': ['condition']}, 'category': 'Service#General', 'opinion': {'from': 13, 'to': 14, 'term': ['good']}, 'sentiment': 'POS'}]"
This was a gift for my 13 year old granddaughter ... a men 's medium fit her perfectly ... enough room for a shirt under it ... seem the kids are all wearing these now ... it is a nice quality too ...,ACOS,"[{'aspect': {'from': 40, 'to': 41, 'term': ['quality']}, 'category': 'Top#Quality', 'opinion': {'from': 39, 'to': 40, 'term': ['nice']}, 'sentiment': 'POS'}, {'aspect': {'from': 12, 'to': 15, 'term': ['men', ""'s"", 'medium']}, 'category': 'Top#Size', 'opinion': {'from': 17, 'to': 18, 'term': ['perfectly']}, 'sentiment': 'POS'}]"
I very fond of the style but I 'm so sad they were n't for my feet .,ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['they']}, 'category': 'Shoes#General', 'opinion': {'from': 9, 'to': 11, 'term': ['so', 'sad']}, 'sentiment': 'NEG'}, {'aspect': {'from': 5, 'to': 6, 'term': ['style']}, 'category': 'Shoes#Looking', 'opinion': {'from': 1, 'to': 3, 'term': ['very', 'fond']}, 'sentiment': 'POS'}]"
Great quality .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['quality']}, 'category': 'Clothing#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Great']}, 'sentiment': 'POS'}]"
I bought these as a gift for my Mom who loves them .,ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['them']}, 'category': 'Shoes#General', 'opinion': {'from': 10, 'to': 11, 'term': ['loves']}, 'sentiment': 'POS'}]"
I really like these .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Clothing#General', 'opinion': {'from': 1, 'to': 3, 'term': ['really', 'like']}, 'sentiment': 'POS'}]"
The caramel color is very attractive and will blend well with summer and winter colors .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['color']}, 'category': 'Shoes#Looking', 'opinion': {'from': 4, 'to': 6, 'term': ['very', 'attractive']}, 'sentiment': 'POS'}]"
It is man-made now unlike my previous leather pair so I have my doubts .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Shoes#Quality', 'opinion': {'from': 2, 'to': 3, 'term': ['man-made']}, 'sentiment': 'NEG'}]"
The sizing was very true.I am very satisfied with this shoe and highly recommend to anyone needing the wider widths.N.Mayo,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['sizing']}, 'category': 'Shoes#Size', 'opinion': {'from': 3, 'to': 5, 'term': ['very', 'true.I']}, 'sentiment': 'POS'}, {'aspect': {'from': 10, 'to': 11, 'term': ['shoe']}, 'category': 'Shoes#General', 'opinion': {'from': 6, 'to': 8, 'term': ['very', 'satisfied']}, 'sentiment': 'POS'}, {'aspect': {'from': 10, 'to': 11, 'term': ['shoe']}, 'category': 'Shoes#General', 'opinion': {'from': 12, 'to': 14, 'term': ['highly', 'recommend']}, 'sentiment': 'POS'}]"
Would order again in a different color .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Shoes#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
