raw_words,task,quadruples
A wonderful location with great amenities and very clean .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['amenities']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 4, 'to': 5, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 2, 'to': 3, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 9, 'term': ['very', 'clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 2, 'to': 3, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 1, 'to': 2, 'term': ['wonderful']}, 'sentiment': 'POS'}]"
You probably would n't find a better location than this .,ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 6, 'to': 7, 'term': ['better']}, 'sentiment': 'POS'}]"
Thank you !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Thank']}, 'sentiment': 'POS'}]"
"Cozy bed , and good shower !",ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['shower']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 4, 'to': 5, 'term': ['good']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['bed']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 0, 'to': 1, 'term': ['Cozy']}, 'sentiment': 'POS'}]"
Excellent host .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['host']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Excellent']}, 'sentiment': 'POS'}]"
"Awesome hosts , very comfortable and clean room .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['room']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 3, 'to': 5, 'term': ['very', 'comfortable']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['hosts']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Awesome']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['room']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 6, 'to': 7, 'term': ['clean']}, 'sentiment': 'POS'}]"
The unit was as described and the location ca n't be beat !,ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
She was very helpful and the flat is well prepped .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 2, 'to': 4, 'term': ['very', 'helpful']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 7, 'term': ['flat']}, 'category': 'Hotel#General', 'opinion': {'from': 8, 'to': 9, 'term': ['well']}, 'sentiment': 'POS'}]"
Jason gave us lots of recommendation on what to do in Boston .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['recommendation']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Nice clean bathroom with a shower with very good water pressure .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['bathroom']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 0, 'to': 2, 'term': ['Nice', 'clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 11, 'term': ['water', 'pressure']}, 'category': 'Room_Amenities#Quality', 'opinion': {'from': 7, 'to': 9, 'term': ['very', 'good']}, 'sentiment': 'POS'}]"
