raw_words,task,quadruples
mousepad doesn ' t work .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['mousepad']}, 'category': 'HARDWARE#QUALITY', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
then it just rebooted without prompt .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#OPERATION_PERFORMANCE', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
update - this thing frustrated me so much over the past month that i just threw it in the trash ( where it belongs ) .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 4, 'to': 5, 'term': ['frustrated']}, 'sentiment': 'NEG'}]"
"- though the case is plastic , the keyboard area itself has a cold metallic feel .",ACOS,"[{'aspect': {'from': 8, 'to': 10, 'term': ['keyboard', 'area']}, 'category': 'KEYBOARD#DESIGN_FEATURES', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['case']}, 'category': 'LAPTOP#DESIGN_FEATURES', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEU'}]"
very poor battery life .,ACOS,"[{'aspect': {'from': 2, 'to': 4, 'term': ['battery', 'life']}, 'category': 'BATTERY#QUALITY', 'opinion': {'from': 1, 'to': 2, 'term': ['poor']}, 'sentiment': 'NEG'}]"
don ' t buy it .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
"i opened the box after ordering on black friday , and the machine wouldn ' t charge .",ACOS,"[{'aspect': {'from': 12, 'to': 13, 'term': ['machine']}, 'category': 'POWER_SUPPLY#OPERATION_PERFORMANCE', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
"biggest gripe , no backlights on the keyboard .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['keyboard']}, 'category': 'KEYBOARD#DESIGN_FEATURES', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
below medium build quality,ACOS,"[{'aspect': {'from': 2, 'to': 4, 'term': ['build', 'quality']}, 'category': 'LAPTOP#QUALITY', 'opinion': {'from': 0, 'to': 2, 'term': ['below', 'medium']}, 'sentiment': 'NEG'}]"
and the google play store is chock - full of great apps and games .,ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['apps']}, 'category': 'SOFTWARE#DESIGN_FEATURES', 'opinion': {'from': 10, 'to': 11, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 2, 'to': 5, 'term': ['google', 'play', 'store']}, 'category': 'SOFTWARE#DESIGN_FEATURES', 'opinion': {'from': 10, 'to': 11, 'term': ['great']}, 'sentiment': 'POS'}]"
"it ' s a different computer overall due to the way you control certain things and what not , but that hasn ' t been a big deal .",ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['computer']}, 'category': 'LAPTOP#OPERATION_PERFORMANCE', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEU'}]"
"what they lack in size , they make up for in raw speed , durability , and energy efficiency .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#DESIGN_FEATURES', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#OPERATION_PERFORMANCE', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
- i wish the sound quality was better .,ACOS,"[{'aspect': {'from': 4, 'to': 6, 'term': ['sound', 'quality']}, 'category': 'MULTIMEDIA_DEVICES#GENERAL', 'opinion': {'from': 7, 'to': 8, 'term': ['better']}, 'sentiment': 'NEU'}]"
i returned it because the speaker is dead low .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['speaker']}, 'category': 'MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE', 'opinion': {'from': 8, 'to': 9, 'term': ['low']}, 'sentiment': 'NEG'}]"
"i have had this laptop for about a month now and every time i turn it on , i am still blown away !",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['laptop']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
wireless card is finicky with both units i had .,ACOS,"[{'aspect': {'from': 0, 'to': 2, 'term': ['wireless', 'card']}, 'category': 'HARDWARE#DESIGN_FEATURES', 'opinion': {'from': 3, 'to': 4, 'term': ['finicky']}, 'sentiment': 'NEG'}]"
the keyboard and touchpad experience are pivotal for a device like this and what asus delivers is very satisfying .,ACOS,"[{'aspect': {'from': 14, 'to': 15, 'term': ['asus']}, 'category': 'COMPANY#GENERAL', 'opinion': {'from': 18, 'to': 19, 'term': ['satisfying']}, 'sentiment': 'POS'}]"
"the tech and the quantities ( ram , etc . )",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#MISCELLANEOUS', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"as others have already reported , the headphone jack produces extremely weak volume , even at max .",ACOS,"[{'aspect': {'from': 7, 'to': 9, 'term': ['headphone', 'jack']}, 'category': 'MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
i was very excited at the prospect of buying this laptop .,ACOS,"[{'aspect': {'from': 10, 'to': 11, 'term': ['laptop']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 3, 'to': 4, 'term': ['excited']}, 'sentiment': 'POS'}]"
- backlit keyboard rocks,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['backlit', 'keyboard']}, 'category': 'KEYBOARD#DESIGN_FEATURES', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
setting it up is awkward because it ' s chrome .,ACOS,"[{'aspect': {'from': 9, 'to': 10, 'term': ['chrome']}, 'category': 'SOFTWARE#USABILITY', 'opinion': {'from': 4, 'to': 5, 'term': ['awkward']}, 'sentiment': 'NEG'}]"
overall a good buy .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 2, 'to': 3, 'term': ['good']}, 'sentiment': 'POS'}]"
"i love the fast bootup time with the optane memory , a nice alternative to a very expensive ssd .",ACOS,"[{'aspect': {'from': 8, 'to': 10, 'term': ['optane', 'memory']}, 'category': 'MEMORY#OPERATION_PERFORMANCE', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['bootup']}, 'category': 'OS#OPERATION_PERFORMANCE', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}]"
the build quality is nice and the hinge is sturdy .,ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['hinge']}, 'category': 'HARDWARE#QUALITY', 'opinion': {'from': 9, 'to': 10, 'term': ['sturdy']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 3, 'term': ['build', 'quality']}, 'category': 'LAPTOP#QUALITY', 'opinion': {'from': 4, 'to': 5, 'term': ['nice']}, 'sentiment': 'POS'}]"
"great computer , especially for the price .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['computer']}, 'category': 'LAPTOP#PRICE', 'opinion': {'from': 0, 'to': 1, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['computer']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 0, 'to': 1, 'term': ['great']}, 'sentiment': 'POS'}]"
- fast boot up ( 3 seconds ),ACOS,"[{'aspect': {'from': 2, 'to': 4, 'term': ['boot', 'up']}, 'category': 'OS#OPERATION_PERFORMANCE', 'opinion': {'from': 1, 'to': 2, 'term': ['fast']}, 'sentiment': 'POS'}]"
it is perfect for everything i need it for .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 2, 'to': 3, 'term': ['perfect']}, 'sentiment': 'POS'}]"
i absolutely love this laptop .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['laptop']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 2, 'to': 3, 'term': ['love']}, 'sentiment': 'POS'}]"
"keyboard layout is not the best , do not like that i have to press the function key to raise or lower the volume / brightness on the arrow keys .",ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['keyboard', 'layout', 'is']}, 'category': 'KEYBOARD#DESIGN_FEATURES', 'opinion': {'from': 3, 'to': 6, 'term': ['not', 'the', 'best']}, 'sentiment': 'NEU'}]"
"also , secure os .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['os']}, 'category': 'OS#OPERATION_PERFORMANCE', 'opinion': {'from': 2, 'to': 3, 'term': ['secure']}, 'sentiment': 'POS'}]"
a great laptop !,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['laptop']}, 'category': 'LAPTOP#GENERAL', 'opinion': {'from': 1, 'to': 2, 'term': ['great']}, 'sentiment': 'POS'}]"
love my new lenovo .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['lenovo']}, 'category': 'COMPANY#GENERAL', 'opinion': {'from': 0, 'to': 1, 'term': ['love']}, 'sentiment': 'POS'}]"
"cons : webcam doesn ' t have video - only takes pics ; awful , uncomfortable keyboard & trackpad ; chromebook extensions are lacking and don ' t address / make up for the limitations of this chromebook ; a bit heavy and clunky ; hard to figure out google cloud print",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#DESIGN_FEATURES', 'opinion': {'from': 41, 'to': 42, 'term': ['heavy']}, 'sentiment': 'NEG'}, {'aspect': {'from': 16, 'to': 17, 'term': ['keyboard']}, 'category': 'KEYBOARD#OPERATION_PERFORMANCE', 'opinion': {'from': 15, 'to': 16, 'term': ['uncomfortable']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#DESIGN_FEATURES', 'opinion': {'from': 43, 'to': 44, 'term': ['clunky']}, 'sentiment': 'NEG'}, {'aspect': {'from': 2, 'to': 3, 'term': ['webcam']}, 'category': 'HARDWARE#DESIGN_FEATURES', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}, {'aspect': {'from': 18, 'to': 19, 'term': ['trackpad']}, 'category': 'KEYBOARD#OPERATION_PERFORMANCE', 'opinion': {'from': 15, 'to': 16, 'term': ['uncomfortable']}, 'sentiment': 'NEG'}, {'aspect': {'from': 16, 'to': 17, 'term': ['keyboard']}, 'category': 'KEYBOARD#OPERATION_PERFORMANCE', 'opinion': {'from': 13, 'to': 14, 'term': ['awful']}, 'sentiment': 'NEG'}, {'aspect': {'from': 18, 'to': 19, 'term': ['trackpad']}, 'category': 'KEYBOARD#OPERATION_PERFORMANCE', 'opinion': {'from': 13, 'to': 14, 'term': ['awful']}, 'sentiment': 'NEG'}]"
beautiful ips display .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['ips', 'display']}, 'category': 'DISPLAY#DESIGN_FEATURES', 'opinion': {'from': 0, 'to': 1, 'term': ['beautiful']}, 'sentiment': 'POS'}]"
"- new ports that were not in the 2011 model : hdmi port , extra thunderbolt video port ( now it has two instead of one )",ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['ports']}, 'category': 'PORTS#GENERAL', 'opinion': {'from': 1, 'to': 2, 'term': ['new']}, 'sentiment': 'POS'}]"
"it does have an ips screen , battery life is going strong , and no touch pad issues .",ACOS,"[{'aspect': {'from': 4, 'to': 6, 'term': ['ips', 'screen']}, 'category': 'DISPLAY#GENERAL', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEU'}, {'aspect': {'from': 7, 'to': 9, 'term': ['battery', 'life']}, 'category': 'BATTERY#OPERATION_PERFORMANCE', 'opinion': {'from': 11, 'to': 12, 'term': ['strong']}, 'sentiment': 'POS'}, {'aspect': {'from': 15, 'to': 17, 'term': ['touch', 'pad']}, 'category': 'HARDWARE#OPERATION_PERFORMANCE', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"did i mention , i can access all my word , excel , and powerpoint files using the google apps .",ACOS,"[{'aspect': {'from': 18, 'to': 20, 'term': ['google', 'apps']}, 'category': 'SOFTWARE#USABILITY', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
in the beginning i felt a little weird about this trackpad .,ACOS,"[{'aspect': {'from': 10, 'to': 11, 'term': ['trackpad']}, 'category': 'HARDWARE#GENERAL', 'opinion': {'from': 7, 'to': 8, 'term': ['weird']}, 'sentiment': 'NEG'}]"
the pro worked great until now .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['pro']}, 'category': 'LAPTOP#OPERATION_PERFORMANCE', 'opinion': {'from': 3, 'to': 4, 'term': ['great']}, 'sentiment': 'POS'}]"
i woudlnt recommend more than 10 active tabs which slows down some of the functionality but otherwise runs smoothly for students,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#OPERATION_PERFORMANCE', 'opinion': {'from': 18, 'to': 19, 'term': ['smoothly']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'LAPTOP#OPERATION_PERFORMANCE', 'opinion': {'from': 2, 'to': 3, 'term': ['recommend']}, 'sentiment': 'POS'}]"
the keys feel nice and responsive however the mouse pad is a little over responsive .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['keys']}, 'category': 'KEYBOARD#GENERAL', 'opinion': {'from': 3, 'to': 4, 'term': ['nice']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 10, 'term': ['mouse', 'pad']}, 'category': 'HARDWARE#OPERATION_PERFORMANCE', 'opinion': {'from': 13, 'to': 15, 'term': ['over', 'responsive']}, 'sentiment': 'NEG'}, {'aspect': {'from': 1, 'to': 2, 'term': ['keys']}, 'category': 'KEYBOARD#GENERAL', 'opinion': {'from': 14, 'to': 15, 'term': ['responsive']}, 'sentiment': 'POS'}]"
