,raw_words,task,quadruples
0,"Unfortunately , it was n't up to par with her past works .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Unfortunately']}, 'sentiment': 'NEG'}]"
1,"Not only was the whole plane crash into a very specific location bad , but then bones hidden for 30 years suddenly get found at the exact right time .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 12, 'to': 13, 'term': ['bad']}, 'sentiment': 'NEG'}]"
2,"A very good read from the author who saw it all , up close and very personal .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 3, 'term': ['very', 'good']}, 'sentiment': 'POS'}]"
3,"This book was worth the wait , and I will keep watching for the next novel ... no matter how long it takes !",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['worth']}, 'sentiment': 'POS'}, {'aspect': {'from': 14, 'to': 16, 'term': ['next', 'novel']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
4,An excellent page turner .,ACOS,"[{'aspect': {'from': 2, 'to': 4, 'term': ['page', 'turner']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 2, 'term': ['excellent']}, 'sentiment': 'POS'}]"
5,"Jodie 's tantrums range from cursing and kicking to multiple personalities , the level of abuse she experienced is beyond what most people can imagine.This book can be hard to read at times but Cathy 's strength and her dedication to helping this child is impressive , it held a lot of good ideas and lessons about taking care of children in pain .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 52, 'to': 53, 'term': ['good']}, 'sentiment': 'POS'}, {'aspect': {'from': 34, 'to': 35, 'term': ['Cathy']}, 'category': 'Content#Characters', 'opinion': {'from': 45, 'to': 46, 'term': ['impressive']}, 'sentiment': 'POS'}, {'aspect': {'from': 25, 'to': 26, 'term': ['book']}, 'category': 'Content#Plot', 'opinion': {'from': 28, 'to': 29, 'term': ['hard']}, 'sentiment': 'NEG'}]"
6,( this was really at odds with her personality in the book ) . Confusing and just plain awful to read .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 16, 'to': 19, 'term': ['just', 'plain', 'awful']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 14, 'to': 15, 'term': ['Confusing']}, 'sentiment': 'NEG'}]"
7,"love these two characters , and have been following them all along but am nearing the ends of books , need more",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': 0, 'to': 1, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
8,"There are also a couple of good storylines involving some of Patrick 's co-workers.I don't know if it was the story or just that this is the fourth book I have read by this author and in this series , but I was able to figure out the twist really soon .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['storylines']}, 'category': 'Content#Plot', 'opinion': {'from': 6, 'to': 7, 'term': ['good']}, 'sentiment': 'POS'}]"
9,Thanks for the great transaction !,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['transaction']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Thanks']}, 'sentiment': 'POS'}]"
